Column2,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
2,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
3,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
4,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
5,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
6, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO
7, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO
8,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
9,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
10, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO
11, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO
12,YES, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO
13,YES, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO
14, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO
15, NO, NO,YES, NO,YES,YES, NO,YES, NO, NO,YES, NO
16,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
17,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
18, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO
19, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO
20, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO
21, NO, NO, NO, NO,YES, NO, NO,YES, NO,YES,YES, NO
22,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO
23, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO
24,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
25, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES
26,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
27,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
28,YES, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO
29, NO, NO,YES, NO,YES,YES, NO, NO, NO,YES, NO,YES
30, NO, NO,YES, NO,YES,YES, NO, NO, NO,YES, NO, NO
31, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES
32,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
33,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
34, NO, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
35, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO
36, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO
37,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
38,YES, NO, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO
39, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO
40,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO
41,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
42,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
43,YES, NO, NO, NO, NO,YES, NO,YES, NO, NO, NO, NO
44,YES, NO, NO, NO, NO,YES, NO,YES, NO,YES, NO, NO
45,YES, NO, NO, NO, NO,YES, NO,YES, NO,YES, NO, NO
46,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO
47,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO
48,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO
49,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
50,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
51,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
52,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
53,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
54,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
55, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO
56, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO
57,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
58,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
59, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO
60, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO
61,YES, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO
62,YES, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO
63, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO
64, NO, NO,YES, NO,YES,YES, NO,YES, NO, NO,YES, NO
65,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
66,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
67, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO
68, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO
69, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO
70, NO, NO, NO, NO,YES, NO, NO,YES, NO,YES,YES, NO
71,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO
72, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO
73,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
74, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES
75,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
76,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
77,YES, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO
78, NO, NO,YES, NO,YES,YES, NO, NO, NO,YES, NO,YES
79, NO, NO,YES, NO,YES,YES, NO, NO, NO,YES, NO, NO
80, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES
81,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
82,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
83, NO, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
84, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO
85, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO
86,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO
87,YES, NO, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO
88, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO
89,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO
90,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
91,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
92,YES, NO, NO, NO, NO,YES, NO,YES, NO, NO, NO, NO
93,YES, NO, NO, NO, NO,YES, NO,YES, NO,YES, NO, NO
94,YES, NO, NO, NO, NO,YES, NO,YES, NO,YES, NO, NO
95,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO
96,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO
97,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO
98,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
99,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
100,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
101,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
102,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
103,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
104,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
105,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO
106,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO
